"","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Engine","Power","Seats","Price","Make","Gama","kmpl","kmpkg","Price.mod2"
"1","Audi Q3 2012-2015 35 TDI Quattro Premium","Mumbai",2015,48000,"Diesel","Automatic","First",1968,174.33,5,18.25,"Audi","Gama alta",15.73,0,1.32048078232138
"2","BMW 3 Series 320d Luxury Line","Mumbai",2014,18600,"Diesel","Automatic","Second",1995,190,5,21,"Bmw","Gama alta",22.69,0,1.31129701586398
"3","Hyundai Grand i10 AT Asta","Chennai",2016,18000,"Petrol","Automatic","First",1197,82,5,5.4,"Hyundai","Gama media",18.9,0,0.762516046830319
"4","Mercedes-Benz E-Class 280 CDI","Kochi",2009,80464,"Diesel","Automatic","Second",2987,198.5,5,9.29,"Mercedes-Benz","Gama alta",11,0,1.06230831853946
"5","Hyundai Accent GLE","Pune",2005,123200,"Petrol","Manual","Second",1495,94,5,1,"Hyundai","Gama media",13.2,0,0.23590511361599
"6","Ford EcoSport 1.5 TDCi Trend","Delhi",2016,46727,"Diesel","Manual","First",1498,98.59,5,7.25,"Ford","Gama media",22.77,0,0.859296317474896
"7","Mercedes-Benz A Class A180 Sport","Mumbai",2016,17000,"Petrol","Automatic","First",1595,122,5,17.25,"Mercedes-Benz","Gama alta",15.5,0,1.18739407049221
"8","Renault Duster 110PS Diesel RxZ AMT","Coimbatore",2017,30090,"Diesel","Automatic","First",1461,108.45,5,11.44,"Renault","Gama media",19.6,0,0.963759584379136
"9","Ford Figo Petrol ZXI","Mumbai",2011,32000,"Petrol","Manual","Second",1196,70,5,2.15,"Ford","Gama media",15.6,0,0.407429706234315
"10","BMW X1 sDrive 20d Exclusive","Chennai",2012,115000,"Diesel","Automatic","Third",1995,177,5,10,"Bmw","Gama alta",15.06,0,1.16527848722251
"11","Mahindra XUV500 W8 2WD","Coimbatore",2018,46811,"Diesel","Manual","First",2179,140,7,16.59,"Mahindra","Gama alta",16,0,1.36847244048388
"12","Tata Zest Revotron 1.2 XT","Coimbatore",2015,27000,"Petrol","Manual","First",1193,88.7,5,5.27,"Tata","Gama baja",17.57,0,0.63183387015593
"13","Maruti Wagon R LX BSIII","Jaipur",2005,115000,"Petrol","Manual","Second",1061,64,5,0.99,"Maruti","Gama media",17.3,0,0.0339873428439146
"14","Maruti Ciaz 1.3 Alpha","Kochi",2018,39023,"Diesel","Manual","First",1248,88.5,5,9.48,"Maruti","Gama media",28.09,0,0.911375712177352
"15","Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde","Kochi",2011,92239,"Diesel","Automatic","Second",2987,210,5,10.6,"Mercedes-Benz","Gama alta",11.5,0,1.2006811467391
"16","Maruti Swift VXI Optional","Kochi",2017,26327,"Petrol","Manual","First",1197,81.8,5,5.86,"Maruti","Gama media",20.4,0,0.815628730783707
"17","Maruti Ritz VXi","Coimbatore",2011,50318,"Petrol","Manual","First",1197,85.8,5,4.06,"Maruti","Gama media",18.5,0,0.514333489163589
"18","Ford Figo Diesel Titanium","Chennai",2012,82000,"Diesel","Manual","First",1399,68.05,5,2.95,"Ford","Gama media",20,0,0.446985049153635
"19","Toyota Innova Crysta 2.4 ZX MT","Coimbatore",2018,92056,"Diesel","Manual","First",2393,147.8,7,18.39,"Toyota","Gama alta",13.68,0,1.39695100685835
"20","Chevrolet Spark 1.0 LS","Kolkata",2007,42100,"Petrol","Manual","First",995,62,5,0.99,"Chevrolet","Gama baja",18,0,0.00856024916450582
"21","Mahindra XUV500 W6 2WD","Chennai",2014,80000,"Diesel","Manual","First",2179,140,7,9.4,"Mahindra","Gama alta",15.1,0,1.15089091457483
"22","Honda City 1.5 S MT","Jaipur",2011,95936,"Petrol","Manual","First",1497,118,5,4.1,"Honda","Gama media",17,0,0.681717185822536
"23","Tata Nano Twist XT","Coimbatore",2015,30676,"Petrol","Manual","First",624,37.5,4,2.9,"Tata","Gama baja",25.4,0,0.179623812626009
